GMT Time Correction = 0
Lg00 (Basic Log) Log:
Rec #,Date ,Time,  Pressure [dBars],       WetDryState,     Valid Flag
    117,11/21/2014, 00:01:57,             -0.03,                 1,              1
    118,11/21/2014, 00:01:58,             -0.03,                 1,              1
    119,11/21/2014, 00:01:59,             -0.03,                 1,              1
    120,11/21/2014, 00:02:00,             -0.03,                 1,              1
    121,11/21/2014, 00:02:01,             -0.03,                 1,              1
    122,11/21/2014, 00:02:02,             -0.03,                 1,              1
    123,11/21/2014, 00:02:03,             -0.03,                 1,              1
    124,11/21/2014, 00:02:04,             -0.03,                 1,              1
    125,11/21/2014, 00:02:05,             -0.03,                 1,              1
    126,11/21/2014, 00:02:06,             -0.03,                 1,              1
    127,11/21/2014, 00:02:07,             -0.03,                 1,              1
    128,11/21/2014, 00:02:08,             -0.03,                 1,              1
    129,11/21/2014, 00:02:09,             -0.03,                 1,              1
    130,11/21/2014, 00:02:10,             -0.03,                 1,              1
    131,11/21/2014, 00:02:11,             -0.03,                 1,              1
    132,11/21/2014, 00:02:12,             -0.03,                 1,              1
    133,11/21/2014, 00:02:13,             -0.03,                 1,              1
    134,11/21/2014, 00:02:14,             -0.03,                 1,              1
    135,11/21/2014, 00:02:15,             -0.03,                 1,              1
    136,11/21/2014, 00:02:16,             -0.03,                 1,              1
    137,11/21/2014, 00:02:17,             -0.03,                 1,              1
    138,11/21/2014, 00:02:18,             -0.03,                 1,              1
    139,11/21/2014, 00:02:19,             -0.03,                 1,              1
    140,11/21/2014, 00:02:20,             -0.03,                 1,              1
    141,11/21/2014, 00:02:21,             -0.03,                 1,              1
    142,11/21/2014, 00:02:22,             -0.03,                 1,              1
    143,11/21/2014, 00:02:23,             -0.03,                 1,              1
    144,11/21/2014, 00:02:24,             -0.03,                 1,              1
    145,11/21/2014, 00:02:25,             -0.03,                 1,              1
    146,11/21/2014, 00:02:26,             -0.03,                 1,              1
    147,11/21/2014, 00:02:27,             -0.03,                 1,              1
    148,11/21/2014, 00:02:28,             -0.03,                 1,              1
    149,11/21/2014, 00:02:29,             -0.03,                 1,              1
    150,11/21/2014, 00:02:30,             -0.03,                 1,              1
    151,11/21/2014, 00:02:31,             -0.03,                 1,              1
    152,11/21/2014, 00:02:32,             -0.03,                 1,              1
    153,11/21/2014, 00:02:33,             -0.03,                 1,              1
    154,11/21/2014, 00:02:34,             -0.03,                 1,              1
    155,11/21/2014, 00:02:35,             -0.03,                 1,              1
    156,11/21/2014, 00:02:36,             -0.03,                 1,              1
    157,11/21/2014, 00:02:37,             -0.03,                 1,              1
    158,11/21/2014, 00:02:38,             -0.03,                 1,              1
    159,11/21/2014, 00:02:39,             -0.03,                 1,              1
    160,11/21/2014, 00:02:40,             -0.03,                 1,              1
    161,11/21/2014, 00:02:41,             -0.03,                 1,              1
    162,11/21/2014, 00:02:42,             -0.03,                 1,              1
    163,11/21/2014, 00:02:43,             -0.03,                 1,              1
    164,11/21/2014, 00:02:44,             -0.03,                 1,              1
    165,11/21/2014, 00:02:45,             -0.03,                 1,              1
    166,11/21/2014, 00:02:46,             -0.03,                 1,              1
    167,11/21/2014, 00:02:47,             -0.03,                 1,              1
    168,11/21/2014, 00:02:48,             -0.03,                 1,              1
    169,11/21/2014, 00:02:49,             -0.03,                 1,              1
    170,11/21/2014, 00:02:50,             -0.03,                 1,              1
    171,11/21/2014, 00:02:51,             -0.03,                 1,              1
    172,11/21/2014, 00:02:52,             -0.03,                 1,              1
    173,11/21/2014, 00:02:53,             -0.03,                 1,              1
    174,11/21/2014, 00:02:54,             -0.03,                 1,              1
    175,11/21/2014, 00:02:55,             -0.03,                 1,              1
    176,11/21/2014, 00:02:56,             -0.03,                 1,              1
    177,11/21/2014, 00:02:57,             -0.03,                 1,              1
    178,11/21/2014, 00:02:58,             -0.03,                 1,              1
    179,11/21/2014, 00:02:59,             -0.03,                 1,              1
    180,11/21/2014, 00:03:00,             -0.03,                 1,              1
    181,11/21/2014, 00:03:01,             -0.03,                 1,              1
    182,11/21/2014, 00:03:02,             -0.03,                 1,              1
    183,11/21/2014, 00:03:03,             -0.03,                 1,              1
    184,11/21/2014, 00:03:04,             -0.03,                 1,              1
    185,11/21/2014, 00:03:05,             -0.03,                 1,              1
    186,11/21/2014, 00:03:06,             -0.03,                 1,              1
    187,11/21/2014, 00:03:07,             -0.03,                 1,              1
    188,11/21/2014, 00:03:08,             -0.03,                 1,              1
    189,11/21/2014, 00:03:09,             -0.03,                 1,              1
    190,11/21/2014, 00:03:10,             -0.03,                 1,              1
    191,11/21/2014, 00:03:11,             -0.03,                 1,              1
    192,11/21/2014, 00:03:12,             -0.03,                 1,              1
    193,11/21/2014, 00:03:13,             -0.03,                 1,              1
    194,11/21/2014, 00:03:14,             -0.03,                 1,              1
    195,11/21/2014, 00:03:15,             -0.03,                 1,              1
    196,11/21/2014, 00:03:16,             -0.03,                 1,              1
    197,11/21/2014, 00:03:17,             -0.03,                 1,              1
    198,11/21/2014, 00:03:18,             -0.03,                 1,              1
    199,11/21/2014, 00:03:19,             -0.03,                 1,              1
    200,11/21/2014, 00:03:20,             -0.03,                 1,              1
    201,11/21/2014, 00:03:21,             -0.03,                 1,              1
    202,11/21/2014, 00:03:22,             -0.03,                 1,              1
    203,11/21/2014, 00:03:23,             -0.03,                 1,              1
    204,11/21/2014, 00:03:24,             -0.03,                 1,              1
    205,11/21/2014, 00:03:25,             -0.03,                 1,              1
    206,11/21/2014, 00:03:26,             -0.03,                 1,              1
    207,11/21/2014, 00:03:27,             -0.03,                 1,              1
    208,11/21/2014, 00:03:28,             -0.03,                 1,              1
    209,11/21/2014, 00:03:29,             -0.03,                 1,              1
    210,11/21/2014, 00:03:30,             -0.03,                 1,              1
    211,11/21/2014, 00:03:31,             -0.03,                 1,              1
    212,11/21/2014, 00:03:32,             -0.03,                 1,              1
    213,11/21/2014, 00:03:33,             -0.03,                 1,              1
    214,11/21/2014, 00:03:34,             -0.03,                 1,              1
    215,11/21/2014, 00:03:35,             -0.03,                 1,              1
    216,11/21/2014, 00:03:36,             -0.03,                 1,              1
    217,11/21/2014, 00:03:37,             -0.03,                 1,              1
    218,11/21/2014, 00:03:38,             -0.03,                 1,              1
    219,11/21/2014, 00:03:39,             -0.03,                 1,              1
    220,11/21/2014, 00:03:40,             -0.03,                 1,              1
    221,11/21/2014, 00:03:41,             -0.03,                 1,              1
    222,11/21/2014, 00:03:42,             -0.03,                 1,              1
    223,11/21/2014, 00:03:43,             -0.03,                 1,              1
    224,11/21/2014, 00:03:44,             -0.03,                 1,              1
    225,11/21/2014, 00:03:45,             -0.03,                 1,              1
    226,11/21/2014, 00:03:46,             -0.03,                 1,              1
    227,11/21/2014, 00:03:47,             -0.03,                 1,              1
    228,11/21/2014, 00:03:48,             -0.03,                 1,              1
    229,11/21/2014, 00:03:49,             -0.03,                 1,              1
    230,11/21/2014, 00:03:50,             -0.03,                 1,              1
    231,11/21/2014, 00:03:51,             -0.03,                 1,              1
    232,11/21/2014, 00:03:52,             -0.03,                 1,              1
    233,11/21/2014, 00:03:53,             -0.03,                 1,              1
    234,11/21/2014, 00:03:54,             -0.03,                 1,              1
    235,11/21/2014, 00:03:55,             -0.03,                 1,              1
    236,11/21/2014, 00:03:56,             -0.03,                 1,              1
    237,11/21/2014, 00:03:57,             -0.03,                 1,              1
    238,11/21/2014, 00:03:58,             -0.03,                 1,              1
    239,11/21/2014, 00:03:59,             -0.03,                 1,              1
    240,11/21/2014, 00:04:00,             -0.03,                 1,              1
    241,11/21/2014, 00:04:01,             -0.03,                 1,              1
    242,11/21/2014, 00:04:02,             -0.03,                 1,              1
    243,11/21/2014, 00:04:03,             -0.03,                 1,              1
    244,11/21/2014, 00:04:04,             -0.03,                 1,              1
    245,11/21/2014, 00:04:05,             -0.03,                 1,              1
    246,11/21/2014, 00:04:06,             -0.03,                 1,              1
    247,11/21/2014, 00:04:07,             -0.03,                 1,              1
    248,11/21/2014, 00:04:08,             -0.03,                 1,              1
    249,11/21/2014, 00:04:09,             -0.03,                 1,              1
    250,11/21/2014, 00:04:10,             -0.03,                 1,              1
    251,11/21/2014, 00:04:11,             -0.03,                 1,              1
    252,11/21/2014, 00:04:12,             -0.03,                 1,              1
    253,11/21/2014, 00:04:13,             -0.03,                 1,              1
    254,11/21/2014, 00:04:14,             -0.03,                 1,              1
    255,11/21/2014, 00:04:15,             -0.03,                 1,              1
    256,11/21/2014, 00:04:16,             -0.03,                 1,              1
    257,11/21/2014, 00:04:17,             -0.03,                 1,              1
    258,11/21/2014, 00:04:18,             -0.03,                 1,              1
    259,11/21/2014, 00:04:19,             -0.03,                 1,              1
    260,11/21/2014, 00:04:20,             -0.03,                 1,              1
    261,11/21/2014, 00:04:21,             -0.03,                 1,              1
    262,11/21/2014, 00:04:22,             -0.03,                 1,              1
    263,11/21/2014, 00:04:23,             -0.03,                 1,              1
    264,11/21/2014, 00:04:24,             -0.03,                 1,              1
    265,11/21/2014, 00:04:25,             -0.03,                 1,              1
    266,11/21/2014, 00:04:26,             -0.03,                 1,              1
    267,11/21/2014, 00:04:27,             -0.03,                 1,              1
    268,11/21/2014, 00:04:28,             -0.03,                 1,              1
    269,11/21/2014, 00:04:29,             -0.03,                 1,              1
    270,11/21/2014, 00:04:30,             -0.03,                 1,              1
    271,11/21/2014, 00:04:31,             -0.03,                 1,              1
    272,11/21/2014, 00:04:32,             -0.03,                 1,              1
    273,11/21/2014, 00:04:33,             -0.03,                 1,              1
    274,11/21/2014, 00:04:34,             -0.03,                 1,              1
    275,11/21/2014, 00:04:35,             -0.03,                 1,              1
    276,11/21/2014, 00:04:36,             -0.03,                 1,              1
    277,11/21/2014, 00:04:37,             -0.03,                 1,              1
    278,11/21/2014, 00:04:38,             -0.03,                 1,              1
    279,11/21/2014, 00:04:39,             -0.03,                 1,              1
    280,11/21/2014, 00:04:40,             -0.03,                 1,              1
    281,11/21/2014, 00:04:41,             -0.03,                 1,              1
    282,11/21/2014, 00:04:42,             -0.03,                 1,              1
    283,11/21/2014, 00:04:43,             -0.03,                 1,              1
    284,11/21/2014, 00:04:44,             -0.03,                 1,              1
    285,11/21/2014, 00:04:45,             -0.03,                 1,              1
    286,11/21/2014, 00:04:46,             -0.03,                 1,              1
    287,11/21/2014, 00:04:47,             -0.03,                 1,              1
    288,11/21/2014, 00:04:48,             -0.03,                 1,              1
    289,11/21/2014, 00:04:49,             -0.03,                 1,              1
    290,11/21/2014, 00:04:50,             -0.03,                 1,              1
    291,11/21/2014, 00:04:51,             -0.03,                 1,              1
    292,11/21/2014, 00:04:52,             -0.03,                 1,              1
    293,11/21/2014, 00:04:53,             -0.03,                 1,              1
    294,11/21/2014, 00:04:54,             -0.03,                 1,              1
    295,11/21/2014, 00:04:55,             -0.03,                 1,              1
    296,11/21/2014, 00:04:56,             -0.03,                 1,              1
    297,11/21/2014, 00:04:57,             -0.03,                 1,              1
    298,11/21/2014, 00:04:58,             -0.03,                 1,              1
    299,11/21/2014, 00:04:59,             -0.03,                 1,              1
    300,11/21/2014, 00:05:00,             -0.03,                 1,              1
    301,11/21/2014, 00:05:01,             -0.03,                 1,              1
    302,11/21/2014, 00:05:02,             -0.03,                 1,              1
    303,11/21/2014, 00:05:03,             -0.03,                 1,              1
    304,11/21/2014, 00:05:04,             -0.03,                 1,              1
    305,11/21/2014, 00:05:05,             -0.03,                 1,              1
    306,11/21/2014, 00:05:06,             -0.03,                 1,              1
    307,11/21/2014, 00:05:07,             -0.03,                 1,              1
    308,11/21/2014, 00:05:08,             -0.03,                 1,              1
    309,11/21/2014, 00:05:09,             -0.03,                 1,              1
    310,11/21/2014, 00:05:10,             -0.03,                 1,              1
    311,11/21/2014, 00:05:11,             -0.03,                 1,              1
    312,11/21/2014, 00:05:12,             -0.03,                 1,              1
    313,11/21/2014, 00:05:13,             -0.03,                 1,              1
    314,11/21/2014, 00:05:14,             -0.03,                 1,              1
    315,11/21/2014, 00:05:15,             -0.03,                 1,              1
    316,11/21/2014, 00:05:16,             -0.03,                 1,              1
    317,11/21/2014, 00:05:17,             -0.03,                 1,              1
    318,11/21/2014, 00:05:18,             -0.03,                 1,              1
    319,11/21/2014, 00:05:19,             -0.03,                 1,              1
    320,11/21/2014, 00:05:20,             -0.03,                 1,              1
    321,11/21/2014, 00:05:21,             -0.03,                 1,              1
    322,11/21/2014, 00:05:22,             -0.03,                 1,              1
    323,11/21/2014, 00:05:23,             -0.03,                 1,              1
    324,11/21/2014, 00:05:24,             -0.03,                 1,              1
    325,11/21/2014, 00:05:25,             -0.03,                 1,              1
    326,11/21/2014, 00:05:26,             -0.03,                 1,              1
    327,11/21/2014, 00:05:27,             -0.03,                 1,              1
    328,11/21/2014, 00:05:28,             -0.03,                 1,              1
    329,11/21/2014, 00:05:29,             -0.03,                 1,              1
    330,11/21/2014, 00:05:30,             -0.03,                 1,              1
    331,11/21/2014, 00:05:31,             -0.03,                 1,              1
    332,11/21/2014, 00:05:32,             -0.03,                 1,              1
    333,11/21/2014, 00:05:33,             -0.03,                 1,              1
    334,11/21/2014, 00:05:34,             -0.03,                 1,              1
    335,11/21/2014, 00:05:35,             -0.03,                 1,              1
    336,11/21/2014, 00:05:36,             -0.03,                 1,              1
    337,11/21/2014, 00:05:37,             -0.03,                 1,              1
    338,11/21/2014, 00:05:38,             -0.03,                 1,              1
    339,11/21/2014, 00:05:39,             -0.03,                 1,              1
    340,11/21/2014, 00:05:40,             -0.03,                 1,              1
    341,11/21/2014, 00:05:41,             -0.03,                 1,              1
    342,11/21/2014, 00:05:42,             -0.03,                 1,              1
    343,11/21/2014, 00:05:43,             -0.03,                 1,              1
    344,11/21/2014, 00:05:44,             -0.03,                 1,              1
    345,11/21/2014, 00:05:45,             -0.03,                 1,              1
    346,11/21/2014, 00:05:46,             -0.03,                 1,              1
    347,11/21/2014, 00:05:47,             -0.03,                 1,              1
    348,11/21/2014, 00:05:48,             -0.03,                 1,              1
    349,11/21/2014, 00:05:49,             -0.03,                 1,              1
    350,11/21/2014, 00:05:50,             -0.03,                 1,              1
    351,11/21/2014, 00:05:51,             -0.03,                 1,              1
    352,11/21/2014, 00:05:52,             -0.03,                 1,              1
    353,11/21/2014, 00:05:53,             -0.03,                 1,              1
    354,11/21/2014, 00:05:54,             -0.03,                 1,              1
    355,11/21/2014, 00:05:55,             -0.03,                 1,              1
    356,11/21/2014, 00:05:56,             -0.03,                 1,              1
    357,11/21/2014, 00:05:57,             -0.03,                 1,              1
    358,11/21/2014, 00:05:58,             -0.03,                 1,              1
    359,11/21/2014, 00:05:59,             -0.03,                 1,              1
    360,11/21/2014, 00:06:00,             -0.03,                 1,              1
    361,11/21/2014, 00:06:01,             -0.03,                 1,              1
    362,11/21/2014, 00:06:02,             -0.03,                 1,              1
    363,11/21/2014, 00:06:03,             -0.03,                 1,              1
    364,11/21/2014, 00:06:04,             -0.03,                 1,              1
    365,11/21/2014, 00:06:05,             -0.03,                 1,              1
    366,11/21/2014, 00:06:06,             -0.03,                 1,              1
    367,11/21/2014, 00:06:07,             -0.03,                 1,              1
    368,11/21/2014, 00:06:08,             -0.03,                 1,              1
    369,11/21/2014, 00:06:09,             -0.03,                 1,              1
    370,11/21/2014, 00:06:10,             -0.03,                 1,              1
    371,11/21/2014, 00:06:11,             -0.03,                 1,              1
    372,11/21/2014, 00:06:12,             -0.03,                 1,              1
    373,11/21/2014, 00:06:13,             -0.03,                 1,              1
    374,11/21/2014, 00:06:14,             -0.03,                 1,              1
    375,11/21/2014, 00:06:15,             -0.03,                 1,              1
    376,11/21/2014, 00:06:16,             -0.03,                 1,              1
    377,11/21/2014, 00:06:17,             -0.03,                 1,              1
    378,11/21/2014, 00:06:18,             -0.03,                 1,              1
    379,11/21/2014, 00:06:19,             -0.03,                 1,              1
    380,11/21/2014, 00:06:20,             -0.03,                 1,              1
    381,11/21/2014, 00:06:21,             -0.03,                 1,              1
    382,11/21/2014, 00:06:22,             -0.03,                 1,              1
    383,11/21/2014, 00:06:23,             -0.03,                 1,              1
    384,11/21/2014, 00:06:24,             -0.03,                 1,              1
    385,11/21/2014, 00:06:25,             -0.03,                 1,              1
    386,11/21/2014, 00:06:26,             -0.03,                 1,              1
    387,11/21/2014, 00:06:27,             -0.03,                 1,              1
    388,11/21/2014, 00:06:28,             -0.03,                 1,              1
    389,11/21/2014, 00:06:29,             -0.03,                 1,              1
    390,11/21/2014, 00:06:30,             -0.03,                 1,              1
    391,11/21/2014, 00:06:31,             -0.03,                 1,              1
    392,11/21/2014, 00:06:32,             -0.03,                 1,              1
    393,11/21/2014, 00:06:33,             -0.03,                 1,              1
    394,11/21/2014, 00:06:34,             -0.03,                 1,              1
    395,11/21/2014, 00:06:35,             -0.03,                 1,              1
    396,11/21/2014, 00:06:36,             -0.03,                 1,              1
    397,11/21/2014, 00:06:37,             -0.03,                 1,              1
    398,11/21/2014, 00:06:38,             -0.03,                 1,              1
    399,11/21/2014, 00:06:39,             -0.03,                 1,              1
    400,11/21/2014, 00:06:40,             -0.03,                 1,              1
    401,11/21/2014, 00:06:41,             -0.03,                 1,              1
    402,11/21/2014, 00:06:42,             -0.03,                 1,              1
    403,11/21/2014, 00:06:43,             -0.03,                 1,              1
    404,11/21/2014, 00:06:44,             -0.03,                 1,              1
    405,11/21/2014, 00:06:45,             -0.03,                 1,              1
    406,11/21/2014, 00:06:46,             -0.03,                 1,              1
    407,11/21/2014, 00:06:47,             -0.03,                 1,              1
    408,11/21/2014, 00:06:48,             -0.03,                 1,              1
    409,11/21/2014, 00:06:49,             -0.03,                 1,              1
    410,11/21/2014, 00:06:50,             -0.03,                 1,              1
    411,11/21/2014, 00:06:51,             -0.03,                 1,              1
    412,11/21/2014, 00:06:52,             -0.03,                 1,              1
    413,11/21/2014, 00:06:53,             -0.03,                 1,              1
    414,11/21/2014, 00:06:54,             -0.03,                 1,              1
    415,11/21/2014, 00:06:55,             -0.03,                 1,              1
    416,11/21/2014, 00:06:56,             -0.03,                 1,              1
    417,11/21/2014, 00:06:57,             -0.03,                 1,              1
    418,11/21/2014, 00:06:58,             -0.03,                 1,              1
    419,11/21/2014, 00:06:59,             -0.03,                 1,              1
    420,11/21/2014, 00:07:00,             -0.03,                 1,              1
    421,11/21/2014, 00:07:01,             -0.03,                 1,              1
    422,11/21/2014, 00:07:02,             -0.03,                 1,              1
    423,11/21/2014, 00:07:03,             -0.03,                 1,              1
    424,11/21/2014, 00:07:04,             -0.03,                 1,              1
    425,11/21/2014, 00:07:05,             -0.03,                 1,              1
    426,11/21/2014, 00:07:06,             -0.03,                 1,              1
    427,11/21/2014, 00:07:07,             -0.03,                 1,              1
    428,11/21/2014, 00:07:08,             -0.03,                 1,              1
    429,11/21/2014, 00:07:09,             -0.03,                 1,              1
    430,11/21/2014, 00:07:10,             -0.03,                 1,              1
    431,11/21/2014, 00:07:11,             -0.03,                 1,              1
    432,11/21/2014, 00:07:12,             -0.03,                 1,              1
    433,11/21/2014, 00:07:13,             -0.03,                 1,              1
    434,11/21/2014, 00:07:14,             -0.03,                 1,              1
    435,11/21/2014, 00:07:15,             -0.03,                 1,              1
    436,11/21/2014, 00:07:16,             -0.03,                 1,              1
    437,11/21/2014, 00:07:17,             -0.03,                 1,              1
    438,11/21/2014, 00:07:18,             -0.03,                 1,              1
    439,11/21/2014, 00:07:19,             -0.03,                 1,              1
    440,11/21/2014, 00:07:20,             -0.03,                 1,              1
    441,11/21/2014, 00:07:21,             -0.03,                 1,              1
    442,11/21/2014, 00:07:22,             -0.03,                 1,              1
    443,11/21/2014, 00:07:23,             -0.03,                 1,              1
    444,11/21/2014, 00:07:24,             -0.03,                 1,              1
    445,11/21/2014, 00:07:25,             -0.03,                 1,              1
    446,11/21/2014, 00:07:26,             -0.03,                 1,              1
    447,11/21/2014, 00:07:27,             -0.03,                 1,              1
    448,11/21/2014, 00:07:28,             -0.03,                 1,              1
    449,11/21/2014, 00:07:29,             -0.03,                 1,              1
    450,11/21/2014, 00:07:30,             -0.03,                 1,              1
    451,11/21/2014, 00:07:31,             -0.03,                 1,              1
    452,11/21/2014, 00:07:32,             -0.03,                 1,              1
    453,11/21/2014, 00:07:33,             -0.03,                 1,              1
    454,11/21/2014, 00:07:34,             -0.03,                 1,              1
    455,11/21/2014, 00:07:35,             -0.03,                 1,              1
    456,11/21/2014, 00:07:36,             -0.03,                 1,              1
    457,11/21/2014, 00:07:37,             -0.03,                 1,              1
    458,11/21/2014, 00:07:38,             -0.03,                 1,              1
    459,11/21/2014, 00:07:39,             -0.03,                 1,              1
    460,11/21/2014, 00:07:40,             -0.03,                 1,              1
    461,11/21/2014, 00:07:41,             -0.03,                 1,              1
