GMT Time Correction = 0
Lg00 (Basic Log) Log:
Rec #,Date ,Time,  Pressure [dBars],       WetDryState,     Valid Flag
      0,11/21/2014, 00:00:00,             -0.03,                 1,              1
      1,11/21/2014, 00:00:01,             -0.03,                 1,              1
      2,11/21/2014, 00:00:02,             -0.03,                 1,              1
      3,11/21/2014, 00:00:03,             -0.03,                 1,              1
      4,11/21/2014, 00:00:04,             -0.03,                 1,              1
      5,11/21/2014, 00:00:05,             -0.03,                 1,              1
      6,11/21/2014, 00:00:06,             -0.03,                 1,              1
      7,11/21/2014, 00:00:07,             -0.03,                 1,              1
      8,11/21/2014, 00:00:08,             -0.03,                 1,              1
      9,11/21/2014, 00:00:09,             -0.03,                 1,              1
     10,11/21/2014, 00:00:10,             -0.03,                 1,              1
     11,11/21/2014, 00:00:11,             -0.03,                 1,              1
     12,11/21/2014, 00:00:12,             -0.03,                 1,              1
     13,11/21/2014, 00:00:13,             -0.03,                 1,              1
     14,11/21/2014, 00:00:14,             -0.03,                 1,              1
     15,11/21/2014, 00:00:15,             -0.03,                 1,              1
     16,11/21/2014, 00:00:16,             -0.03,                 1,              1
     17,11/21/2014, 00:00:17,             -0.03,                 1,              1
     18,11/21/2014, 00:00:18,             -0.03,                 1,              1
     19,11/21/2014, 00:00:19,             -0.03,                 1,              1
     20,11/21/2014, 00:00:20,             -0.03,                 1,              1
     21,11/21/2014, 00:00:21,             -0.03,                 1,              1
     22,11/21/2014, 00:00:22,             -0.03,                 1,              1
     23,11/21/2014, 00:00:23,             -0.03,                 1,              1
     24,11/21/2014, 00:00:24,             -0.03,                 1,              1
     25,11/21/2014, 00:00:25,             -0.03,                 1,              1
     26,11/21/2014, 00:00:26,             -0.03,                 1,              1
     27,11/21/2014, 00:00:27,             -0.03,                 1,              1
     28,11/21/2014, 00:00:28,             -0.03,                 1,              1
     29,11/21/2014, 00:00:29,             -0.03,                 1,              1
     30,11/21/2014, 00:00:30,             -0.03,                 1,              1
     31,11/21/2014, 00:00:31,             -0.03,                 1,              1
     32,11/21/2014, 00:00:32,             -0.03,                 1,              1
     33,11/21/2014, 00:00:33,             -0.03,                 1,              1
     34,11/21/2014, 00:00:34,             -0.03,                 1,              1
     35,11/21/2014, 00:00:35,             -0.03,                 1,              1
     36,11/21/2014, 00:00:36,             -0.03,                 1,              1
     37,11/21/2014, 00:00:37,             -0.03,                 1,              1
     38,11/21/2014, 00:00:38,             -0.03,                 1,              1
     39,11/21/2014, 00:00:39,             -0.03,                 1,              1
     40,11/21/2014, 00:00:40,             -0.03,                 1,              1
     41,11/21/2014, 00:00:41,             -0.03,                 1,              1
     42,11/21/2014, 00:00:42,             -0.03,                 1,              1
     43,11/21/2014, 00:00:43,             -0.03,                 1,              1
     44,11/21/2014, 00:00:44,             -0.03,                 1,              1
     45,11/21/2014, 00:00:45,             -0.03,                 1,              1
     46,11/21/2014, 00:00:46,             -0.03,                 1,              1
     47,11/21/2014, 00:00:47,             -0.03,                 1,              1
     48,11/21/2014, 00:00:48,             -0.03,                 1,              1
     49,11/21/2014, 00:00:49,             -0.03,                 1,              1
     50,11/21/2014, 00:00:50,             -0.03,                 1,              1
     51,11/21/2014, 00:00:51,             -0.03,                 1,              1
     52,11/21/2014, 00:00:52,             -0.03,                 1,              1
     53,11/21/2014, 00:00:53,             -0.03,                 1,              1
     54,11/21/2014, 00:00:54,             -0.03,                 1,              1
     55,11/21/2014, 00:00:55,             -0.03,                 1,              1
     56,11/21/2014, 00:00:56,             -0.03,                 1,              1
     57,11/21/2014, 00:00:57,             -0.03,                 1,              1
     58,11/21/2014, 00:00:58,             -0.03,                 1,              1
     59,11/21/2014, 00:00:59,             -0.03,                 1,              1
     60,11/21/2014, 00:01:00,             -0.03,                 1,              1
     61,11/21/2014, 00:01:01,             -0.03,                 1,              1
     62,11/21/2014, 00:01:02,             -0.03,                 1,              1
     63,11/21/2014, 00:01:03,             -0.03,                 1,              1
     64,11/21/2014, 00:01:04,             -0.03,                 1,              1
     65,11/21/2014, 00:01:05,             -0.03,                 1,              1
     66,11/21/2014, 00:01:06,             -0.03,                 1,              1
     67,11/21/2014, 00:01:07,             -0.03,                 1,              1
     68,11/21/2014, 00:01:08,             -0.03,                 1,              1
     69,11/21/2014, 00:01:09,             -0.03,                 1,              1
     70,11/21/2014, 00:01:10,             -0.03,                 1,              1
     71,11/21/2014, 00:01:11,             -0.03,                 1,              1
     72,11/21/2014, 00:01:12,             -0.03,                 1,              1
     73,11/21/2014, 00:01:13,             -0.03,                 1,              1
     74,11/21/2014, 00:01:14,             -0.03,                 1,              1
     75,11/21/2014, 00:01:15,             -0.03,                 1,              1
     76,11/21/2014, 00:01:16,             -0.03,                 1,              1
     77,11/21/2014, 00:01:17,             -0.03,                 1,              1
     78,11/21/2014, 00:01:18,             -0.03,                 1,              1
     79,11/21/2014, 00:01:19,             -0.03,                 1,              1
     80,11/21/2014, 00:01:20,             -0.03,                 1,              1
     81,11/21/2014, 00:01:21,             -0.03,                 1,              1
     82,11/21/2014, 00:01:22,             -0.03,                 1,              1
     83,11/21/2014, 00:01:23,             -0.03,                 1,              1
     84,11/21/2014, 00:01:24,             -0.03,                 1,              1
     85,11/21/2014, 00:01:25,             -0.03,                 1,              1
     86,11/21/2014, 00:01:26,             -0.03,                 1,              1
     87,11/21/2014, 00:01:27,             -0.03,                 1,              1
     88,11/21/2014, 00:01:28,             -0.03,                 1,              1
     89,11/21/2014, 00:01:29,             -0.03,                 1,              1
     90,11/21/2014, 00:01:30,             -0.03,                 1,              1
     91,11/21/2014, 00:01:31,             -0.03,                 1,              1
     92,11/21/2014, 00:01:32,             -0.03,                 1,              1
     93,11/21/2014, 00:01:33,             -0.03,                 1,              1
     94,11/21/2014, 00:01:34,             -0.03,                 1,              1
     95,11/21/2014, 00:01:35,             -0.03,                 1,              1
     96,11/21/2014, 00:01:36,             -0.03,                 1,              1
     97,11/21/2014, 00:01:37,             -0.03,                 1,              1
     98,11/21/2014, 00:01:38,             -0.03,                 1,              1
     99,11/21/2014, 00:01:39,             -0.03,                 1,              1
    100,11/21/2014, 00:01:40,             -0.03,                 1,              1
    101,11/21/2014, 00:01:41,             -0.03,                 1,              1
    102,11/21/2014, 00:01:42,             -0.03,                 1,              1
    103,11/21/2014, 00:01:43,             -0.03,                 1,              1
    104,11/21/2014, 00:01:44,             -0.03,                 1,              1
    105,11/21/2014, 00:01:45,             -0.03,                 1,              1
    106,11/21/2014, 00:01:46,             -0.03,                 1,              1
    107,11/21/2014, 00:01:47,             -0.03,                 1,              1
    108,11/21/2014, 00:01:48,             -0.03,                 1,              1
    109,11/21/2014, 00:01:49,             -0.03,                 1,              1
    110,11/21/2014, 00:01:50,             -0.03,                 1,              1
    111,11/21/2014, 00:01:51,             -0.03,                 1,              1
    112,11/21/2014, 00:01:52,             -0.03,                 1,              1
    113,11/21/2014, 00:01:53,             -0.03,                 1,              1
    114,11/21/2014, 00:01:54,             -0.03,                 1,              1
    115,11/21/2014, 00:01:55,             -0.03,                 1,              1
    116,11/21/2014, 00:01:56,             -0.03,                 1,              1
