GMT Time Correction = -14400
Lg00 (Basic Log) Log:
Rec #,Date ,Time,  Pressure [dBars],    LightIntensity,       IntTemp [C],       ExtTemp [C],      C_TooDimFlag,     Valid Flag
     23,2/23/2022, 20:03:50,            -17.38,                 1,             25.24,             27.06,                 1,              1
     24,2/23/2022, 20:04:00,            -17.38,                 1,             25.26,             27.06,                 1,              1
     25,2/23/2022, 20:04:10,            -19.38,                 1,             25.26,             27.06,                 1,              1
     26,2/23/2022, 20:04:20,            -18.38,                 1,             25.26,             27.06,                 1,              1
     27,2/23/2022, 20:04:30,            -18.38,                 1,             25.26,             27.06,                 1,              1
     28,2/23/2022, 20:04:40,            -18.38,                 1,             25.26,             27.06,                 1,              1
     29,2/23/2022, 20:04:50,            -18.38,                 1,             25.26,             27.08,                 1,              1
     30,2/23/2022, 20:05:00,            -18.38,                 1,             25.26,             27.08,                 1,              1
     31,2/23/2022, 20:05:10,            -17.38,                 1,             25.26,             27.06,                 1,              1
     32,2/23/2022, 20:05:20,            -18.38,                 1,             25.26,             27.08,                 1,              1
     33,2/23/2022, 20:05:30,            -19.38,                 1,             25.26,             27.08,                 1,              1
     34,2/23/2022, 20:05:40,            -18.38,                 1,             25.26,             27.08,                 1,              1
     35,2/23/2022, 20:05:50,            -17.38,                 1,             25.28,             27.08,                 1,              1
     36,2/23/2022, 20:06:00,            -17.38,                 1,             25.28,             27.08,                 1,              1
     37,2/23/2022, 20:06:10,            -18.38,                 1,             25.28,             27.08,                 1,              1
     38,2/23/2022, 20:06:20,            -17.38,                 1,             25.28,             27.08,                 1,              1
     39,2/23/2022, 20:06:30,            -17.38,                 1,             25.28,             27.08,                 1,              1
     40,2/23/2022, 20:06:40,            -18.38,                 1,             25.28,             27.10,                 1,              1
     41,2/23/2022, 20:06:50,            -17.38,                 1,             25.28,             27.10,                 1,              1
     42,2/23/2022, 20:07:00,            -18.38,                 1,             25.28,             27.10,                 1,              1
     43,2/23/2022, 20:07:10,            -18.38,                 1,             25.28,             27.10,                 1,              1
     44,2/23/2022, 20:07:20,            -17.38,                 1,             25.28,             27.10,                 1,              1
     45,2/23/2022, 20:07:30,            -18.38,                 1,             25.28,             27.10,                 1,              1
     46,2/23/2022, 20:07:40,            -17.38,                 1,             25.28,             27.10,                 1,              1
     47,2/23/2022, 20:07:50,            -19.38,                 1,             25.28,             27.10,                 1,              1
     48,2/23/2022, 20:08:00,            -18.38,                 1,             25.28,             27.10,                 1,              1
     49,2/23/2022, 20:08:10,            -18.38,                 1,             25.28,             27.12,                 1,              1
     50,2/23/2022, 20:08:20,            -18.38,                 1,             25.28,             27.10,                 1,              1
     51,2/23/2022, 20:08:30,            -18.38,                 1,             25.32,             27.12,                 1,              1
     52,2/23/2022, 20:08:40,            -17.38,                 1,             25.32,             27.12,                 1,              1
     53,2/23/2022, 20:08:50,            -17.38,                 1,             25.32,             27.12,                 1,              1
     54,2/23/2022, 20:09:00,            -17.38,                 1,             25.32,             27.12,                 1,              1
     55,2/23/2022, 20:09:10,            -18.38,                 1,             25.32,             27.12,                 1,              1
     56,2/23/2022, 20:09:20,            -18.38,                 1,             25.32,             27.12,                 1,              1
     57,2/23/2022, 20:09:30,            -18.38,                 1,             25.32,             27.12,                 1,              1
     58,2/23/2022, 20:09:40,            -17.38,                 1,             25.32,             27.12,                 1,              1
     59,2/23/2022, 20:09:50,            -19.38,                 1,             25.32,             27.12,                 1,              1
     60,2/23/2022, 20:10:00,            -17.38,                 1,             25.32,             27.14,                 1,              1
     61,2/23/2022, 20:10:10,            -17.38,                 1,             25.32,             27.12,                 1,              1
     62,2/23/2022, 20:10:20,            -18.38,                 1,             25.32,             27.14,                 1,              1
     63,2/23/2022, 20:10:30,            -18.38,                 1,             25.32,             27.14,                 1,              1
     64,2/23/2022, 20:10:40,            -18.38,                 1,             25.32,             27.14,                 1,              1
     65,2/23/2022, 20:10:50,            -18.38,                 1,             25.32,             27.14,                 1,              1
     66,2/23/2022, 20:11:00,            -19.38,                 1,             25.34,             27.14,                 1,              1
     67,2/23/2022, 20:11:10,            -19.38,                 1,             25.34,             27.14,                 1,              1
     68,2/23/2022, 20:11:20,            -19.38,                 1,             25.34,             27.14,                 1,              1
     69,2/23/2022, 20:11:30,            -18.38,                 1,             25.34,             27.14,                 1,              1
     70,2/23/2022, 20:11:40,            -20.38,                 1,             25.34,             27.14,                 1,              1
     71,2/23/2022, 20:11:50,            -18.38,                 1,             25.34,             27.14,                 1,              1
     72,2/23/2022, 20:12:00,            -19.38,                 1,             25.34,             27.14,                 1,              1
     73,2/23/2022, 20:12:10,            -19.38,                 1,             25.34,             27.18,                 1,              1
     74,2/23/2022, 20:12:20,            -19.38,                 1,             25.34,             27.18,                 1,              1
     75,2/23/2022, 20:12:30,            -18.38,                 1,             25.34,             27.18,                 1,              1
     76,2/23/2022, 20:12:40,            -19.38,                 1,             25.34,             27.18,                 1,              1
     77,2/23/2022, 20:12:50,            -19.38,                 1,             25.36,             27.18,                 1,              1
     78,2/23/2022, 20:13:00,            -19.38,                 1,             25.36,             27.18,                 1,              1
     79,2/23/2022, 20:13:10,            -19.38,                 1,             25.34,             27.18,                 1,              1
     80,2/23/2022, 20:13:20,            -18.38,                 1,             25.36,             27.18,                 1,              1
     81,2/23/2022, 20:13:30,            -18.38,                 1,             25.36,             27.18,                 1,              1
     82,2/23/2022, 20:13:40,            -18.38,                 1,             25.36,             27.18,                 1,              1
     83,2/23/2022, 20:13:50,            -20.38,                 1,             25.36,             27.18,                 1,              1
     84,2/23/2022, 20:14:00,            -19.38,                 1,             25.36,             27.20,                 1,              1
     85,2/23/2022, 20:14:10,            -19.38,                 1,             25.36,             27.20,                 1,              1
     86,2/23/2022, 20:14:20,            -19.38,                 1,             25.36,             27.20,                 1,              1
     87,2/23/2022, 20:14:30,            -18.38,                 1,             25.38,             27.20,                 1,              1
     88,2/23/2022, 20:14:40,            -18.38,                 1,             25.36,             27.20,                 1,              1
     89,2/23/2022, 20:14:50,            -18.38,                 1,             25.38,             27.20,                 1,              1
     90,2/23/2022, 20:15:00,            -19.38,                 1,             25.36,             27.20,                 1,              1
     91,2/23/2022, 20:15:10,            -19.38,                 1,             25.38,             27.20,                 1,              1
     92,2/23/2022, 20:15:20,            -19.38,                 1,             25.38,             27.20,                 1,              1
     93,2/23/2022, 20:15:30,            -17.38,                 1,             25.38,             27.20,                 1,              1
     94,2/23/2022, 20:15:40,            -19.38,                 1,             25.38,             27.20,                 1,              1
     95,2/23/2022, 20:15:50,            -18.38,                 1,             25.38,             27.20,                 1,              1
     96,2/23/2022, 20:16:00,            -19.38,                 1,             25.38,             27.22,                 1,              1
     97,2/23/2022, 20:16:10,            -19.38,                 1,             25.38,             27.20,                 1,              1
     98,2/23/2022, 20:16:20,            -20.38,                 1,             25.38,             27.22,                 1,              1
     99,2/23/2022, 20:16:30,            -18.38,                 1,             25.38,             27.22,                 1,              1
    100,2/23/2022, 20:16:40,            -18.38,                 1,             25.38,             27.22,                 1,              1
    101,2/23/2022, 20:16:50,            -18.38,                 1,             25.38,             27.22,                 1,              1
    102,2/23/2022, 20:17:00,            -19.38,                 1,             25.38,             27.22,                 1,              1
    103,2/23/2022, 20:17:10,            -19.38,                 1,             25.38,             27.22,                 1,              1
    104,2/23/2022, 20:17:20,            -19.38,                 1,             25.38,             27.22,                 1,              1
    105,2/23/2022, 20:17:30,            -20.38,                 1,             25.40,             27.22,                 1,              1
    106,2/23/2022, 20:17:40,            -19.38,                 1,             25.40,             27.22,                 1,              1
    107,2/23/2022, 20:17:50,            -19.38,                 1,             25.40,             27.22,                 1,              1
    108,2/23/2022, 20:18:00,            -19.38,                 1,             25.40,             27.22,                 1,              1
    109,2/23/2022, 20:18:10,            -18.38,                 1,             25.40,             27.22,                 1,              1
    110,2/23/2022, 20:18:20,            -18.38,                 1,             25.40,             27.22,                 1,              1
    111,2/23/2022, 20:18:30,            -18.38,                 1,             25.40,             27.22,                 1,              1
    112,2/23/2022, 20:18:40,            -18.38,                 1,             25.40,             27.22,                 1,              1
    113,2/23/2022, 20:18:50,            -19.38,                 1,             25.40,             27.24,                 1,              1
    114,2/23/2022, 20:19:00,            -18.38,                 1,             25.40,             27.22,                 1,              1
    115,2/23/2022, 20:19:10,            -18.38,                 1,             25.40,             27.24,                 1,              1
    116,2/23/2022, 20:19:20,            -19.38,                 1,             25.40,             27.24,                 1,              1
    117,2/23/2022, 20:19:30,            -19.38,                 1,             25.42,             27.24,                 1,              1
    118,2/23/2022, 20:19:40,            -19.38,                 1,             25.42,             27.24,                 1,              1
    119,2/23/2022, 20:19:50,            -19.38,                 1,             25.42,             27.24,                 1,              1
    120,2/23/2022, 20:20:00,            -19.38,                 1,             25.42,             27.24,                 1,              1
    121,2/23/2022, 20:20:10,            -19.38,                 1,             25.42,             27.24,                 1,              1
    122,2/23/2022, 20:20:20,            -18.38,                 1,             25.42,             27.24,                 1,              1
    123,2/23/2022, 20:20:30,            -19.38,                 1,             25.42,             27.24,                 1,              1
    124,2/23/2022, 20:20:40,            -18.38,                 1,             25.42,             27.24,                 1,              1
    125,2/23/2022, 20:20:50,            -18.38,                 1,             25.42,             27.24,                 1,              1
    126,2/23/2022, 20:21:00,            -19.38,                 1,             25.42,             27.24,                 1,              1
    127,2/23/2022, 20:21:10,            -18.38,                 1,             25.42,             27.24,                 1,              1
    128,2/23/2022, 20:21:20,            -19.38,                 1,             25.42,             27.26,                 1,              1
    129,2/23/2022, 20:21:30,            -18.38,                 1,             25.42,             27.24,                 1,              1
    130,2/23/2022, 20:21:40,            -18.38,                 1,             25.44,             27.26,                 1,              1
    131,2/23/2022, 20:21:50,            -18.38,                 1,             25.44,             27.26,                 1,              1
    132,2/23/2022, 20:22:00,            -18.38,                 1,             25.44,             27.26,                 1,              1
    133,2/23/2022, 20:22:10,            -18.38,                 1,             25.44,             27.26,                 1,              1
    134,2/23/2022, 20:22:20,            -18.38,                 1,             25.44,             27.26,                 1,              1
    135,2/23/2022, 20:22:30,            -18.38,                 1,             25.44,             27.26,                 1,              1
    136,2/23/2022, 20:22:40,            -19.38,                 1,             25.44,             27.26,                 1,              1
    137,2/23/2022, 20:22:50,            -19.38,                 1,             25.44,             27.26,                 1,              1
    138,2/23/2022, 20:23:00,            -19.38,                 1,             25.44,             27.26,                 1,              1
    139,2/23/2022, 20:23:10,            -18.38,                 1,             25.44,             27.26,                 1,              1
    140,2/23/2022, 20:23:20,            -19.38,                 1,             25.44,             27.26,                 1,              1
    141,2/23/2022, 20:23:30,            -18.38,                 1,             25.44,             27.26,                 1,              1
    142,2/23/2022, 20:23:40,            -18.38,                 1,             25.46,             27.26,                 1,              1
    143,2/23/2022, 20:23:50,            -18.38,                 1,             25.46,             27.26,                 1,              1
    144,2/23/2022, 20:24:00,            -18.38,                 1,             25.46,             27.28,                 1,              1
    145,2/23/2022, 20:24:10,            -20.38,                 1,             25.46,             27.26,                 1,              1
    146,2/23/2022, 20:24:20,            -18.38,                 1,             25.46,             27.28,                 1,              1
    147,2/23/2022, 20:24:30,            -19.38,                 1,             25.46,             27.28,                 1,              1
    148,2/23/2022, 20:24:40,            -18.38,                 1,             25.46,             27.28,                 1,              1
    149,2/23/2022, 20:24:50,            -18.38,                 1,             25.46,             27.28,                 1,              1
    150,2/23/2022, 20:25:00,            -18.38,                 1,             25.46,             27.28,                 1,              1
    151,2/23/2022, 20:25:10,            -18.38,                 1,             25.46,             27.28,                 1,              1
    152,2/23/2022, 20:25:20,            -18.38,                 1,             25.46,             27.28,                 1,              1
    153,2/23/2022, 20:25:30,            -19.38,                 1,             25.46,             27.28,                 1,              1
    154,2/23/2022, 20:25:40,            -18.38,                 1,             25.46,             27.28,                 1,              1
    155,2/23/2022, 20:25:50,            -19.38,                 1,             25.46,             27.28,                 1,              1
    156,2/23/2022, 20:26:00,            -18.38,                 1,             25.46,             27.28,                 1,              1
    157,2/23/2022, 20:26:10,            -18.38,                 1,             25.48,             27.28,                 1,              1
    158,2/23/2022, 20:26:20,            -19.38,                 1,             25.48,             27.28,                 1,              1
    159,2/23/2022, 20:26:30,            -18.38,                 1,             25.48,             27.28,                 1,              1
    160,2/23/2022, 20:26:40,            -18.38,                 1,             25.48,             27.28,                 1,              1
    161,2/23/2022, 20:26:50,            -18.38,                 1,             25.48,             27.30,                 1,              1
    162,2/23/2022, 20:27:00,            -18.38,                 1,             25.48,             27.30,                 1,              1
    163,2/23/2022, 20:27:10,            -18.38,                 1,             25.48,             27.28,                 1,              1
    164,2/23/2022, 20:27:20,            -18.38,                 1,             25.48,             27.30,                 1,              1
    165,2/23/2022, 20:27:30,            -18.38,                 1,             25.48,             27.30,                 1,              1
    166,2/23/2022, 20:27:40,            -18.38,                 1,             25.48,             27.30,                 1,              1
    167,2/23/2022, 20:27:50,            -19.38,                 1,             25.48,             27.30,                 1,              1
    168,2/23/2022, 20:28:00,            -19.38,                 1,             25.48,             27.30,                 1,              1
    169,2/23/2022, 20:28:10,            -18.38,                 1,             25.48,             27.30,                 1,              1
    170,2/23/2022, 20:28:20,            -19.38,                 1,             25.48,             27.30,                 1,              1
    171,2/23/2022, 20:28:30,            -18.38,                 1,             25.50,             27.30,                 1,              1
    172,2/23/2022, 20:28:40,            -18.38,                 1,             25.50,             27.30,                 1,              1
    173,2/23/2022, 20:28:50,            -18.38,                 1,             25.50,             27.30,                 1,              1
    174,2/23/2022, 20:29:00,            -19.38,                 1,             25.50,             27.30,                 1,              1
    175,2/23/2022, 20:29:10,            -19.38,                 1,             25.50,             27.30,                 1,              1
    176,2/23/2022, 20:29:20,            -18.38,                 1,             25.50,             27.30,                 1,              1
    177,2/23/2022, 20:29:30,            -18.38,                 1,             25.50,             27.30,                 1,              1
    178,2/23/2022, 20:29:40,            -18.38,                 1,             25.50,             27.30,                 1,              1
    179,2/23/2022, 20:29:50,            -19.38,                 1,             25.50,             27.30,                 1,              1
    180,2/23/2022, 20:30:00,            -18.38,                 1,             25.50,             27.30,                 1,              1
    181,2/23/2022, 20:30:10,            -18.38,                 1,             25.50,             27.30,                 1,              1
    182,2/23/2022, 20:30:20,            -18.38,                 1,             25.50,             27.30,                 1,              1
    183,2/23/2022, 20:30:30,            -17.38,                 1,             25.50,             27.30,                 1,              1
    184,2/23/2022, 20:30:40,            -19.38,                 1,             25.52,             27.30,                 1,              1
    185,2/23/2022, 20:30:50,            -18.38,                 1,             25.52,             27.30,                 1,              1
    186,2/23/2022, 20:31:00,            -18.38,                 1,             25.52,             27.30,                 1,              1
    187,2/23/2022, 20:31:10,            -18.38,                 1,             25.52,             27.32,                 1,              1
    188,2/23/2022, 20:31:20,            -18.38,                 1,             25.52,             27.30,                 1,              1
    189,2/23/2022, 20:31:30,            -19.38,                 1,             25.52,             27.32,                 1,              1
    190,2/23/2022, 20:31:40,            -19.38,                 1,             25.52,             27.32,                 1,              1
    191,2/23/2022, 20:31:50,            -18.38,                 1,             25.52,             27.32,                 1,              1
    192,2/23/2022, 20:32:00,            -18.38,                 1,             25.52,             27.32,                 1,              1
    193,2/23/2022, 20:32:10,            -19.38,                 1,             25.52,             27.32,                 1,              1
    194,2/23/2022, 20:32:20,            -18.38,                 1,             25.52,             27.32,                 1,              1
    195,2/23/2022, 20:32:30,            -18.38,                 1,             25.52,             27.32,                 1,              1
    196,2/23/2022, 20:32:40,            -18.38,                 1,             25.52,             27.32,                 1,              1
    197,2/23/2022, 20:32:50,            -19.38,                 1,             25.54,             27.32,                 1,              1
    198,2/23/2022, 20:33:00,            -18.38,                 1,             25.54,             27.32,                 1,              1
    199,2/23/2022, 20:33:10,            -18.38,                 1,             25.54,             27.32,                 1,              1
    200,2/23/2022, 20:33:20,            -18.38,                 1,             25.54,             27.32,                 1,              1
    201,2/23/2022, 20:33:30,            -18.38,                 1,             25.54,             27.32,                 1,              1
    202,2/23/2022, 20:33:40,            -18.38,                 1,             25.54,             27.32,                 1,              1
    203,2/23/2022, 20:33:50,            -18.38,                 1,             25.54,             27.32,                 1,              1
    204,2/23/2022, 20:34:00,            -18.38,                 1,             25.54,             27.32,                 1,              1
    205,2/23/2022, 20:34:10,            -18.38,                 1,             25.54,             27.32,                 1,              1
    206,2/23/2022, 20:34:20,            -18.38,                 1,             25.54,             27.32,                 1,              1
    207,2/23/2022, 20:34:30,            -18.38,                 1,             25.54,             27.32,                 1,              1
    208,2/23/2022, 20:34:40,            -18.38,                 1,             25.54,             27.32,                 1,              1
    209,2/23/2022, 20:34:50,            -18.38,                 1,             25.58,             27.32,                 1,              1
    210,2/23/2022, 20:35:00,            -18.38,                 1,             25.54,             27.34,                 1,              1
    211,2/23/2022, 20:35:10,            -18.38,                 1,             25.58,             27.34,                 1,              1
    212,2/23/2022, 20:35:20,            -19.38,                 1,             25.54,             27.34,                 1,              1
    213,2/23/2022, 20:35:30,            -18.38,                 1,             25.58,             27.34,                 1,              1
    214,2/23/2022, 20:35:40,            -18.38,                 1,             25.58,             27.34,                 1,              1
    215,2/23/2022, 20:35:50,            -18.38,                 1,             25.58,             27.34,                 1,              1
    216,2/23/2022, 20:36:00,            -18.38,                 1,             25.58,             27.34,                 1,              1
    217,2/23/2022, 20:36:10,            -18.38,                 1,             25.58,             27.34,                 1,              1
    218,2/23/2022, 20:36:20,            -18.38,                 1,             25.58,             27.34,                 1,              1
    219,2/23/2022, 20:36:30,            -18.38,                 1,             25.58,             27.34,                 1,              1
    220,2/23/2022, 20:36:40,            -18.38,                 1,             25.58,             27.34,                 1,              1
    221,2/23/2022, 20:36:50,            -19.38,                 1,             25.58,             27.34,                 1,              1
    222,2/23/2022, 20:37:00,            -18.38,                 1,             25.58,             27.34,                 1,              1
    223,2/23/2022, 20:37:10,            -19.38,                 1,             25.58,             27.34,                 1,              1
    224,2/23/2022, 20:37:20,            -19.38,                 1,             25.60,             27.34,                 1,              1
    225,2/23/2022, 20:37:30,            -19.38,                 1,             25.60,             27.34,                 1,              1
    226,2/23/2022, 20:37:40,            -19.38,                 1,             25.60,             27.34,                 1,              1
    227,2/23/2022, 20:37:50,            -18.38,                 1,             25.58,             27.34,                 1,              1
    228,2/23/2022, 20:38:00,            -19.38,                 1,             25.60,             27.34,                 1,              1
    229,2/23/2022, 20:38:10,            -19.38,                 1,             25.60,             27.34,                 1,              1
    230,2/23/2022, 20:38:20,            -18.38,                 1,             25.60,             27.34,                 1,              1
    231,2/23/2022, 20:38:30,            -18.38,                 1,             25.60,             27.34,                 1,              1
    232,2/23/2022, 20:38:40,            -18.38,                 1,             25.60,             27.36,                 1,              1
    233,2/23/2022, 20:38:50,            -19.38,                 1,             25.60,             27.36,                 1,              1
    234,2/23/2022, 20:39:00,            -19.38,                 1,             25.60,             27.36,                 1,              1
    235,2/23/2022, 20:39:10,            -19.38,                 1,             25.60,             27.36,                 1,              1
    236,2/23/2022, 20:39:20,            -19.38,                 1,             25.60,             27.36,                 1,              1
    237,2/23/2022, 20:39:30,            -19.38,                 1,             25.60,             27.36,                 1,              1
    238,2/23/2022, 20:39:40,            -19.38,                 1,             25.60,             27.36,                 1,              1
    239,2/23/2022, 20:39:50,            -19.38,                 1,             25.60,             27.36,                 1,              1
    240,2/23/2022, 20:40:00,            -19.38,                 1,             25.62,             27.36,                 1,              1
    241,2/23/2022, 20:40:10,            -19.38,                 1,             25.62,             27.36,                 1,              1
    242,2/23/2022, 20:40:20,            -19.38,                 1,             25.62,             27.36,                 1,              1
    243,2/23/2022, 20:40:30,            -19.38,                 1,             25.62,             27.36,                 1,              1
    244,2/23/2022, 20:40:40,            -19.38,                 1,             25.62,             27.36,                 1,              1
    245,2/23/2022, 20:40:50,            -19.38,                 1,             25.62,             27.36,                 1,              1
    246,2/23/2022, 20:41:00,            -19.38,                 1,             25.62,             27.36,                 1,              1
    247,2/23/2022, 20:41:10,            -19.38,                 1,             25.62,             27.36,                 1,              1
    248,2/23/2022, 20:41:20,            -18.38,                 1,             25.62,             27.36,                 1,              1
    249,2/23/2022, 20:41:30,            -19.38,                 1,             25.64,             27.36,                 1,              1
    250,2/23/2022, 20:41:40,            -19.38,                 1,             25.62,             27.36,                 1,              1
    251,2/23/2022, 20:41:50,            -19.38,                 1,             25.64,             27.36,                 1,              1
    252,2/23/2022, 20:42:00,            -19.38,                 1,             25.64,             27.36,                 1,              1
    253,2/23/2022, 20:42:10,            -19.38,                 1,             25.64,             27.36,                 1,              1
    254,2/23/2022, 20:42:20,            -18.38,                 1,             25.62,             27.36,                 1,              1
    255,2/23/2022, 20:42:30,            -19.38,                 1,             25.64,             27.36,                 1,              1
    256,2/23/2022, 20:42:40,            -19.38,                 1,             25.64,             27.36,                 1,              1
    257,2/23/2022, 20:42:50,            -19.38,                 1,             25.64,             27.40,                 1,              1
    258,2/23/2022, 20:43:00,            -19.38,                 1,             25.64,             27.40,                 1,              1
    259,2/23/2022, 20:43:10,            -19.38,                 1,             25.64,             27.36,                 1,              1
    260,2/23/2022, 20:43:20,            -19.38,                 1,             25.64,             27.40,                 1,              1
    261,2/23/2022, 20:43:30,            -18.38,                 1,             25.64,             27.40,                 1,              1
    262,2/23/2022, 20:43:40,            -19.38,                 1,             25.64,             27.40,                 1,              1
    263,2/23/2022, 20:43:50,            -19.38,                 1,             25.64,             27.40,                 1,              1
    264,2/23/2022, 20:44:00,            -19.38,                 1,             25.64,             27.40,                 1,              1
    265,2/23/2022, 20:44:10,            -19.38,                 1,             25.64,             27.40,                 1,              1
    266,2/23/2022, 20:44:20,            -20.38,                 1,             25.66,             27.40,                 1,              1
    267,2/23/2022, 20:44:30,            -19.38,                 1,             25.66,             27.40,                 1,              1
    268,2/23/2022, 20:44:40,            -19.38,                 1,             25.64,             27.40,                 1,              1
    269,2/23/2022, 20:44:50,            -20.38,                 1,             25.66,             27.40,                 1,              1
    270,2/23/2022, 20:45:00,            -19.38,                 1,             25.66,             27.40,                 1,              1
    271,2/23/2022, 20:45:10,            -19.38,                 1,             25.66,             27.40,                 1,              1
    272,2/23/2022, 20:45:20,            -19.38,                 1,             25.66,             27.40,                 1,              1
    273,2/23/2022, 20:45:30,            -19.38,                 1,             25.66,             27.40,                 1,              1
    274,2/23/2022, 20:45:40,            -18.38,                 1,             25.66,             27.40,                 1,              1
    275,2/23/2022, 20:45:50,            -18.38,                 1,             25.66,             27.40,                 1,              1
    276,2/23/2022, 20:46:00,            -20.38,                 1,             25.66,             27.40,                 1,              1
    277,2/23/2022, 20:46:10,            -19.38,                 1,             25.66,             27.40,                 1,              1
    278,2/23/2022, 20:46:20,            -19.38,                 1,             25.66,             27.40,                 1,              1
    279,2/23/2022, 20:46:30,            -19.38,                 1,             25.66,             27.40,                 1,              1
    280,2/23/2022, 20:46:40,            -19.38,                 1,             25.68,             27.40,                 1,              1
    281,2/23/2022, 20:46:50,            -18.38,                 1,             25.66,             27.40,                 1,              1
    282,2/23/2022, 20:47:00,            -19.38,                 1,             25.68,             27.40,                 1,              1
    283,2/23/2022, 20:47:10,            -19.38,                 1,             25.68,             27.40,                 1,              1
    284,2/23/2022, 20:47:20,            -19.38,                 1,             25.68,             27.40,                 1,              1
    285,2/23/2022, 20:47:30,            -20.38,                 1,             25.68,             27.40,                 1,              1
    286,2/23/2022, 20:47:40,            -19.38,                 1,             25.68,             27.40,                 1,              1
    287,2/23/2022, 20:47:50,            -19.38,                 1,             25.68,             27.40,                 1,              1
    288,2/23/2022, 20:48:00,            -19.38,                 1,             25.68,             27.40,                 1,              1
    289,2/23/2022, 20:48:10,            -18.38,                 1,             25.68,             27.40,                 1,              1
    290,2/23/2022, 20:48:20,            -19.38,                 1,             25.68,             27.42,                 1,              1
    291,2/23/2022, 20:48:30,            -19.38,                 1,             25.68,             27.40,                 1,              1
    292,2/23/2022, 20:48:40,            -19.38,                 1,             25.68,             27.42,                 1,              1
    293,2/23/2022, 20:48:50,            -19.38,                 1,             25.68,             27.40,                 1,              1
    294,2/23/2022, 20:49:00,            -19.38,                 1,             25.68,             27.42,                 1,              1
    295,2/23/2022, 20:49:10,            -18.38,                 1,             25.68,             27.40,                 1,              1
    296,2/23/2022, 20:49:20,            -19.38,                 1,             25.68,             27.40,                 1,              1
    297,2/23/2022, 20:49:30,            -20.38,                 1,             25.70,             27.42,                 1,              1
    298,2/23/2022, 20:49:40,            -19.38,                 1,             25.70,             27.42,                 1,              1
    299,2/23/2022, 20:49:50,            -19.38,                 1,             25.70,             27.42,                 1,              1
    300,2/23/2022, 20:50:00,            -19.38,                 1,             25.70,             27.42,                 1,              1
    301,2/23/2022, 20:50:10,            -19.38,                 1,             25.70,             27.42,                 1,              1
    302,2/23/2022, 20:50:20,            -18.38,                 1,             25.70,             27.42,                 1,              1
    303,2/23/2022, 20:50:30,            -19.38,                 1,             25.70,             27.42,                 1,              1
    304,2/23/2022, 20:50:40,            -19.38,                 1,             25.70,             27.42,                 1,              1
    305,2/23/2022, 20:50:50,            -20.38,                 1,             25.70,             27.42,                 1,              1
    306,2/23/2022, 20:51:00,            -19.38,                 1,             25.70,             27.42,                 1,              1
    307,2/23/2022, 20:51:10,            -19.38,                 1,             25.70,             27.42,                 1,              1
    308,2/23/2022, 20:51:20,            -18.38,                 1,             25.72,             27.42,                 1,              1
    309,2/23/2022, 20:51:30,            -19.38,                 1,             25.72,             27.42,                 1,              1
    310,2/23/2022, 20:51:40,            -19.38,                 1,             25.72,             27.42,                 1,              1
    311,2/23/2022, 20:51:50,            -18.38,                 1,             25.72,             27.42,                 1,              1
    312,2/23/2022, 20:52:00,            -19.38,                 1,             25.72,             27.42,                 1,              1
