GMT Time Correction = -14400
Lg00 (Basic Log) Log:
Rec #,Date ,Time,  Pressure [dBars],    LightIntensity,       IntTemp [C],       ExtTemp [C],      C_TooDimFlag,     Valid Flag
      0,2/23/2022, 20:00:00,            -18.38,                 1,             25.22,             27.00,                 1,              1
      1,2/23/2022, 20:00:10,            -18.38,                 1,             25.22,             27.00,                 1,              1
      2,2/23/2022, 20:00:20,            -18.38,                 1,             25.22,             27.00,                 1,              1
      3,2/23/2022, 20:00:30,            -19.38,                 1,             25.22,             27.00,                 1,              1
      4,2/23/2022, 20:00:40,            -18.38,                 1,             25.22,             27.00,                 1,              1
      5,2/23/2022, 20:00:50,            -18.38,                 1,             25.22,             27.00,                 1,              1
      6,2/23/2022, 20:01:00,            -19.38,                 1,             25.24,             27.00,                 1,              1
      7,2/23/2022, 20:01:10,            -18.38,                 1,             25.24,             27.00,                 1,              1
      8,2/23/2022, 20:01:20,            -17.38,                 1,             25.24,             27.04,                 1,              1
      9,2/23/2022, 20:01:30,            -18.38,                 1,             25.24,             27.04,                 1,              1
     10,2/23/2022, 20:01:40,            -18.38,                 1,             25.24,             27.04,                 1,              1
     11,2/23/2022, 20:01:50,            -18.38,                 1,             25.24,             27.04,                 1,              1
     12,2/23/2022, 20:02:00,            -18.38,                 1,             25.24,             27.04,                 1,              1
     13,2/23/2022, 20:02:10,            -18.38,                 1,             25.24,             27.04,                 1,              1
     14,2/23/2022, 20:02:20,            -19.38,                 1,             25.24,             27.04,                 1,              1
     15,2/23/2022, 20:02:30,            -17.38,                 1,             25.24,             27.04,                 1,              1
     16,2/23/2022, 20:02:40,            -18.38,                 1,             25.24,             27.04,                 1,              1
     17,2/23/2022, 20:02:50,            -18.38,                 1,             25.24,             27.04,                 1,              1
     18,2/23/2022, 20:03:00,            -18.38,                 1,             25.24,             27.04,                 1,              1
     19,2/23/2022, 20:03:10,            -19.38,                 1,             25.24,             27.04,                 1,              1
     20,2/23/2022, 20:03:20,            -18.38,                 1,             25.26,             27.04,                 1,              1
     21,2/23/2022, 20:03:30,            -19.38,                 1,             25.26,             27.06,                 1,              1
     22,2/23/2022, 20:03:40,            -17.38,                 1,             25.26,             27.06,                 1,              1
